FECHA_SCRAP,CATEGORIA,FUNCION,EMPRESA,PUESTO,DESCRIPCION,URL
30/05/2024 02:19,,,Caja Arequipa,Analista de Créditos con Experiencia sede YURIMAGUAS,"¡Supérate en Caja Arequipa! Somos la Caja líder en el país y estamos en la búsqueda del mejor talento para unirse al equipo que está transformando el mundo de las microfinanzas. Te invitamos a seguir creciendo con nosotros en el puesto de Analista de Créditos con Experiencia – Ag. Yurimaguas¿Qué necesitas para postular?: Estudios universitarios inconclusos o truncos con un mínimo de tres años (6to ciclo culminado) o egresado de Instituto Superior. Experiencia laboral mínima de 01 año como analista de créditos o cargos similares en entidades financieras.(Recuerda mantener actualizada tu información tanto en la solicitud como en tu currículum, de esta manera, podremos validar tus estudios y experiencia según lo solicitado en el perfil).¿Cuáles serán tus tareas?: Promocionar el catálogo de créditos, captar clientes y evaluar sus solicitudes de crédito aplicando la normativa vigente, haciendo seguimiento hasta la recuperación de los créditos. Prospectar clientes, ofrecer y colocar los productos de créditos de Caja Arequipa.¿Qué beneficios tenemos para ti?: Incorporarte a una empresa que cuenta con la certificación de ABE (Asociación de Buenos Empleadores), estamos en el top five en el ranking Merco Talento para captar y retener talento dentro del sector financiero y estamos dentro de las 100 mejores empresas con responsabilidad social- Merco Talento, contamos con certificación ASA con calificación A-. Oportunidad de hacer línea de carrera en el sector financiero. Convenios educativos Capacitación constante Seguro de vida ley desde el primer día de trabajo. Buen clima Laboral Cobertura de Salud Programa de beneficios Siempre+Si cumples con todos los requisitos postula a la vacante, por favor adjuntar CV documentado y actualizado en formato Word o PDF.¡Muchos éxitos en este proceso de selección!De conformidad con lo señalado en la Ley N° 29733, Ley de Protección de Datos Personales y su norma reglamentaria D.S. y N° 003-2013-JUS, en el presente acto EL POSTULANTE brinda su consentimiento para que CAJA AREQUIPA, con RUC 20100209641 y domicilio en Calle La Merced N° 106, Cercado, Arequipa, pueda realizar tratamiento de sus datos personales y/o datos sensibles, sean proporcionados a través de la presente plataforma, las fichas formatos o cualquier otro documento que sea requerido por CAJA AREQUIPA, con la finalidad de recopilar los datos personales de los postulantes para gestionar el proceso de selección y evaluación a cargos laborales según el perfil solicitado, y sólo para los efectos de la misma. CAJA AREQUIPA no realiza transferencia de datos personales, salvo obligación legal y normativo.Así mismo puede ejercer sus derechos ARCO de acceso, rectificación, cancelación y oposición así como revocar su consentimiento, presentando una solicitud clara y formal en cualquiera de nuestras agencias a nivel nacional o través del correo proteccion.datos@cajaarequipa.pe.",https://www.bumeran.com.pe/empleos/analista-de-creditos-con-experiencia-sede-yurimaguas-caja-arequipa-1116336418.html
30/05/2024 02:19,,,Caja Arequipa,Analista de Créditos con Experiencia Ag. HUANCAVELICA,"Somos una institución financiera líder dentro del sistema de cajas municipales del Perú, sin fines de lucro, creada con el objetivo estratégico de constituirse en un elemento fundamental de descentralización financiera y democratización del crédito.Somos Caja Arequipa, la Caja N° 1 del Perú, y nos encontramos en búsqueda del mejor talento para formar parte del equipo que está revolucionando las Microfinanzas en nuestro país, te invitamos a postular al puesto de Analista de Créditos con Experiencia - Ag. Huancavelica¿Qué necesitas para postular?:Estudios universitarios inconclusos o truncos con un mínimo de tres años ( 6to ciclo culminado) o egresado de Instituto Superior.Experiencia laboral mínima de 0 1 año como analista de créditos o cargos similares en entidades financieras.¿Cuáles serán tus tareas?:Promocionar el catálogo de créditos, captar clientes y evaluar sus solicitudes de crédito aplicando la normativa vigente, haciendo seguimiento hasta la recuperación de los créditos.Prospectar clientes, ofrecer y colocar los productos de créditos de Caja Arequipa.¿Qué beneficios tenemos para ti?:Oportunidad de hacer línea de carrera en el sector financiero.Convenios educativosCapacitación constantePertenecer a una sólida empresa que está en crecimiento.Seguro de vida ley desde el primer día de trabajo.Buen clima LaboralSi cumples con todos los requisitos postula a la vacante, por favor adjuntar CV documentado en formato Word o PDF.¡Muchos éxitos en este proceso de selección!De conformidad con lo señalado en la Ley N° 2 9 7 3 3, Ley de Protección de Datos Personales y su norma reglamentaria D.S. y N° 0 0 3- 2 0 1 3-JUS, en el presente acto EL POSTULANTE autoriza a LA CAJA al uso de los datos personales y de los datos sensibles que pueda proporcionar en el desarrollo del proceso de postulación y solo para los efectos de la misma.",https://www.bumeran.com.pe/empleos/analista-de-creditos-con-experiencia-ag-huancavelica-caja-arequipa-1116336393.html
30/05/2024 02:19,,,MEGA GAS,Asistente Contable,"COSTAGAS fue fundada en la ciudad de Trujillo en el año 1979, brindando desde sus inicios productos de alta calidad. De esta forma fueconsolidándose en el sector empresarial, siendo competitivos y comprometidos con el desarrollo del país.Actualmente cuenta con más de 40 años en el mercado y cuenta con 9 plantas a nivel nacional.  Funciones:-Verificar la correcta emisión de comprobantes de ventas y compras-Realizar provisiones contables de acuerdo a las unidades de negocio establecidas-Analizar las cuentas contables de forma permanente-Realizar conciliaciones bancarias-Elaborar liquidación de impuestos mensuales-Elaborar y declarar los libros electrónicos mensuales-Revisión y control de los correctos registros contables de los procesos internos-Otras funciones que asigne el jefe inmediato. Requisitos: Beneficios- Ingreso a planilla con todos los beneficios de acuerdo a ley.- Oportunidad de línea de carrera.Competencias:- Actitud positiva- Orientado a resultados- Proactividad- Trabajo en Equipo- Comunicación Efectiva",https://www.bumeran.com.pe/empleos/asistente-contable-mega-gas-1116336392.html
30/05/2024 02:19,,,PANDERO S.A. EAFC,Ejecutivo de Reactivaciones (Fidelización),"Puesto: Ejecutivo de ReactivacionesSomos una empresa administradora de fondos colectivos, que lleva más de 55 años haciendo más fácil a nuestros asociados lograr su auto o casa propia. Formamos grupos de personas para que puedan alcanzar su meta mediante cuotas mensuales accesibles.Funciones: Gestionar el reingreso de clientes. Atender y brindar asesoría a la cartera de clientes. Hacer seguimiento a la firma de documentos digitales de los clientes. Actualizar de manera permanente la base de datos de la cartera asignada.Requisitos: Profesionales técnico/universitario o estudiantes de los últimos ciclos de carreras de Administración, Contabilidad o afines. Experiencia mínima de 1 año en cobranza telefónica Experiencia deseable en ventas por teléfono de intangibles (seguros, tarjetas y préstamos). Excelente nivel de comunicación, negociación, dinámico y apasionado por los retos. Disponibilidad para trabajar en San Isidro, de Lunes a Viernes 08:45-6:15 y 2 sábados al mes de 08:45-1:15Beneficios: Ingreso a planilla desde el primer día de trabajo, con todos los beneficios de ley: vacaciones, gratificaciones, CTS, asignación familiar. Sueldo fijo + Comisiones sin límite. Capacitación y desarrollo. Grato ambiente laboral, estamos en el ranking Great Place To Work. Cuponera de días libres.",https://www.bumeran.com.pe/empleos/ejecutivo-de-reactivaciones-fidelizacion-pandero-sa-eafc-1116336384.html
30/05/2024 02:19,,,KITCHEN&NUTRITION SAC,CHEF JUNIOR PARA EXPERIENCIA CULINARIAS,"Chef para Experiencias Culinarias¿Eres un chef joven y apasionado que busca transformar cada comida en una experiencia culinaria excepcional? ¿Te encuentras en los últimos ciclos de tus estudios o recién egresado, y tienes una visión de negocio con el deseo de armar equipos de trabajo y manejar tu propio emprendimiento? ¡Entonces te estamos buscando!Responsabilidades:- Representar a nuestra empresa destacando los beneficios, características y ventajas de utilizar nuestra marca.- Realizar demostraciones en vivo y charlas informativas sobre técnicas de cocina innovadoras.- Colaborar estrechamente con el equipo Comercial para mejorar la comprensión del producto y obtener resultados excepcionales.- Asistir a eventos comerciales, ferias y exposiciones para promover nuestra empresa y sus productos.- Actuar como embajador de nuestra marca, destacando nuestros valores y la calidad de nuestros productos.- Proporcionar feedback valioso de los clientes a nuestro equipo de desarrollo de productos para futuras mejoras.Requisitos:- Estudiante de los últimos ciclos o recién egresado de gastronomía o artes culinarias.- Excelentes habilidades de comunicación pública y capacidad para realizar presentaciones convincentes.- Pasión por la cocina y amplio conocimiento en diversas técnicas culinarias.- Capacidad de trabajar de manera autónoma y en equipo.- Disponibilidad para viajar dentro del país según sea necesario.- Competencias interpersonales y de negociación.- Visión de negocio y habilidades para formar y liderar equipos de trabajo.¿Qué ofrecemos?- Oportunidad de crecimiento en una empresa líder en el sector culinario.- Ambiente dinámico y colaborativo, ideal para chefs emprendedores.- Capacitación continua y oportunidades de desarrollo profesional.- Experiencia valiosa en eventos y ferias gastronómicas.- Red de contactos con profesionales y expertos del sector.Si estás listo para transformar tu pasión por la cocina en una carrera exitosa y te ves a ti mismo liderando equipos y creando tu propio camino en el mundo culinario, ¡queremos conocerte!¡Aplica ahora y sé parte de nuestro equipo!",https://www.bumeran.com.pe/empleos/chef-junior-para-experiencia-culinarias-kitchennutrition-sac-1116336165.html
30/05/2024 02:19,,,Fastco S.A,¡Te brindamos movilidad + Bono de movilidad!! Asesores de Ventas Call Center Publico Español,"Somos una Compañía Multinacional Líder de Contact Center con más de 21 años de presencia en el mercado, tenemos presencia en Perú, Colombia, Chile, España y Estados Unidos.Nos encontramos en la búsqueda de los mejores Asesores / Teleoperadores de Ventas por Call Center, estaremos trabajando con una cartera de clientes pertenecientes al sector de las Telecomunicaciones (Internet - Fibra Óptica y Telefonía Móvil) de una Importante Empresa Española (cliente español).Tu principal función será la venta de productos de Telecomunicaciones (Internet fibra y líneas telefónicas móvil) para Público Español.Te buscamos a Ti: ¡Dinámico, proactivo, responsable y comprometido con tu gestión!Te ofrecemos los siguientes Beneficios: Planilla completa desde el primer día de gestión. Remuneración Fija Mensual de S/. 1025. Bono Movilización S/ 100. Bono de Bienvenida S/ 50 el 1er mes. Bono de Permanencia S/ 100 cada mes, por los 3 primeros meses. Bono Nocturno Atractivas comisiones de acuerdo a cumplimiento de metas. Todos los beneficios de ley al 100%. Contarás con Movilidad de recojo hasta el Site. Capacitaciones en PLANILLA COMPLETA Seguro de vida ley. Beneficios corporativos.Horario laboral:  (Gestión de solo 36 horas semanales)Lunes a Viernes: 4 am a 12 pm (1 hr de refrigerio)Descansa Sábados y Domingos.Requisitos: Secundaria Completa. Experiencia mínima de 6 meses en ventas o retenciones por call center. Sólidas habilidades comerciales y de negociación, buscamos un perfil con gran capacidad de cierre de ventas. Idealmente con conocimiento o experiencia en manejo de cliente Español o campañas españolas de VENTAS por Call Center. Idealmente con experiencia previa en gestión Call Center con atención en Horario Madrugada. Experiencia en campañas de ventas de productos de telecomunicaciones (locales o extranjeros). Manejo de PC nivel usuario, Manejo de herramientas ofimáticas. Con todas las ganas de demostrar que eres el mejor asesor de ventas!!Considera que el trabajo es en Modalidad Presencial en Lince, como referencia a 3 cuadras de la estación Canadá del Metropolitano.¡¡No dejes pasar esta oportunidad!!Únete a un gran equipo!¡¡¡Te esperamos!!!",https://www.bumeran.com.pe/empleos/te-brindamos-movilidad-bono-de-movilidad-asesores-de-ventas-call-center-publico-espanol-fastco-sa-1116335819.html
30/05/2024 02:19,,,CONTACTO EFICAZ S.A.C.,Analista de Estrategia en Cobranza - Lima Norte,"Contacto Eficaz. Somos una empresa peruana que brinda servicio en el rubro del Call Center especializados en recuperaciones de Mora. Actualmente nos encontramos en la búsqueda de talentos para el cargo ANALISTA DE ESTRATEGIA DE COBRANZA para nuestra sede en Lima Norte - Presencial, con el siguiente perfil:Requisitos: Titulado o Bachiller de la carrera de Estadística, Ingeniero de Sistemas, Industrial o carreras afines. Experiencia mínima Comprobada de 6 meses como Analista de información o en cobranzas Tener de conocimiento indispensable en (SQL - Nivel intermedio) y (Excel - Nivel avanzado). Manejo básico - intermedio de Power BIFunciones: Analizar los indicadores de gestión, propensión de pago y efectividad de la cartera Analizar los segmentos de la cartera Elaboración del panel de control Emitir diariamente las ratios de efectividad y eficiencia para el equipo. Asignar cartera según las estrategias planteadas. Seguimiento de las acciones del Call Center. Identificar oportunidades de mejora en los procesos operativos del negocio. Promover proyectos de automatización de la gestión de reporting en las carteras. Generar alertas en base a indicadores operativos que permitan tomar acción y revertir los resultados desfavorables.Beneficios Modalidad: Presencial Ingreso a planilla Mype desde el primer día.",https://www.bumeran.com.pe/empleos/analista-de-estrategia-en-cobranza-lima-norte-contacto-eficaz-sac-1116335276.html
30/05/2024 02:19,,,Hochschild,Practicante Profesional de Gestión de la Información - Relaciones Comunitarias,"En Hochschild somos responsables, innovadores, nos apasionan los retos e inspirar y promover el talento para contribuir con un mundo mejor. Lo hacemos de la mano de los mejores, en un ambiente inclusivo y diverso, y queremos que seas parte de ello.Practicante Profesional de Gestión de la Información - Relaciones ComunitariasInformación General Ubicación: Unidad Minera Pallancata Modalidad: Régimen 14x7 Cobertura de traslados desde determinadas ciudades, alojamiento y alimentación al 100%.¿Cuáles son los temas de aprendizaje?Apoyar en el monitoreo e impulsar el registro, ordenamiento y control de la data social de la unidad minera Pallancata. Recopilar las actas firmadas por las comunidades por medio de los equipos de Relaciones Comunitarias. Registrar las actas firmadas con comunidades en Hubspot acorde al esquema establecido por las gerencias de Relaciones Comunitarias y Desarrollo de Negocios. Reportar periódicamente las estadísticas de la data al equipo de Relaciones Comunitarias y Control de Gestión. Registrar data relevante de comunidades según los requerimientos de las gerencias mencionadas. Proponer mejoras en el proceso de registro y almacenamiento de data.¿Qué requisitos debo cumplir para postular a la vacante? Egresado o egresada de las carreras de Administración, Ingeniería Industrial y/o Ingeniería de Sistemas. Dominio de Excel a un nivel Avanzado 6 meses en funciones similares Disponibilidad para trabajar bajo régimen minero¿Qué te ofrecemos en Hochschild? Capacitaciones constantes En tus tiempos libres, tendrás la oportunidad de acceder al Club de Empleados en nuestra unidad. Tu bienestar físico también es importante, por lo que tendrás la oportunidad de acceder a un gimnasio en nuestras operaciones. Podrás participar de eventos deportivos y compartir con los diversos equipos de la operación. En Hochschild es fundamental cuidar tu salud, por lo que te brindamos la cobertura de un Seguro de Salud¡Te invitamos a ser parte de Hochschild y que descubras por qué Somos más que Minería!",https://www.bumeran.com.pe/empleos/practicante-profesional-de-gestion-de-la-informacion-relaciones-comunitarias-hochschild-1116335213.html
30/05/2024 02:19,,,YATEL DATA S.A.C.,Oncosalud Ejecutivo de Ventas Remoto,"Somos YT Grupo, Empresa Líder con experiencia en el rubro de Salud y Seguros, Somos Socios Comerciales a nivel nacional de Auna y Oncosalud y con gran alegría te decimos que debido al crecimiento de nuestro grupo, estamos buscando a los mejores Talentos en Ventas como tú.¿Cuales serían tus funciones? -Capturar clientes Para la marca Auna y oncosalud. -Reuniones diarias vía digital y presencial con el equipo de ventas y los clientes. (zoom, Google Meet, Microsoft teams). -Generar prospección diaria de manera digital, por base de datos, referidos. (Facebook, intagram correo, video llamadas, y llamadas a clientes) ¿Como saber que este puesto es para ti? -Si cuentas con experiencia mínima de 1 año a mas en ventas, negociando con clientes directos. -Si tienes disponibilidad completa para realizar home office y tambien oficina presencial. (Contar con computadora Laptop propia con cámara, o PC con cámara(indispensable), celular con acceso a llamadas, internet, uso básico de Excel). -Si tienes conocimientos en Microsoft Office (nivel avanzado). -Experiencia vendiendo seguros de salud.¿Cuales son los Beneficios? -Ingreso a planilla con todos los beneficios de la ley ( 1 2 sueldos al año + 2 gratificaciones + Cts. -Basico 1 2 0 0 incluido movilidad. -Bono de movilidad -Comisiones ilimitadas de mas de s/. 1 0 0 por una venta. -Horario de trabajo: lunes a viernes de 9am a 6: 3 0pm y sabados de 9 a 1pm. -Equipo de alto rendimiento y ambiente de trabajo estimulante. -Trabajo en oficina y remoto. -Presupuesto interno para poder usarlo en captura de clientes -Pagos puntuales en las fechas indicadas. -Producto innovador y es el unico en Peru con ventajas vs el mercado. -Oportunidades de crecimiento y desarrollo, creemos en el desarrollo continuo te brindaremos talleres de captura de clientes, talleres de habilidades blandas, talleres de liderazgo, talleres de producto todo con el fin de impulsarte a alcanzar tu máximo potencial.¡SUMATE A NUESTRO EQUIPO!",https://www.bumeran.com.pe/empleos/oncosalud-ejecutivo-de-ventas-remoto-yatel-data-sac-1116335163.html
30/05/2024 02:19,,,YATEL DATA S.A.C.,Izipay Asesor Comercial (Remoto),"Somos YT Grupo, Empresa Líder con experiencia en el rubro de Medios de Pagos, Somos Socios Comerciales a nivel nacional de Izipay y con gran alegría te decimos que debido al crecimiento de nuestro grupo, estamos buscando a los mejores Talentos en Ventas como tú. ¡Únete a nuestro equipo de ventas en Izipay Perú!¿QUÉ OFRECEMOS? Contrato en Planilla FULL con 14 sueldos al año y todos los beneficios de ley (gratificaciones, vacaciones, CTS). Ingreso inmediato a planilla desde el primer día. Sueldo base competitivo, oscilando entre S/1200 y S/1500. Bono de Alimentacion por productividad. Bonos Semanales Aprox (s/.300). Comisiones ilimitadas, con montos que varían entre S/20 y S/200. Incentivos económicos y premios por desempeño destacado. Oportunidades de crecimiento y desarrollo profesional a través de evaluaciones trimestrales. Modalidad de trabajo desde casa (Home Office). Entrenamiento constante para potenciar tus habilidades. Ambiente laboral excepcional. Pagos puntuales y confiables. 100% de cobertura en seguro oncologico. Descuentos en Marcas y Empresas Afiliadas a la red. Presupuesto Digitales.¿QUÉ BUSCAMOS? Experiencia previa en ventas remotas, preferiblemente en rubros como Medios de Pagos (P.O.S), Seguros, productos intangibles, créditos, etc. Habilidad para contactar y gestionar clientes con RUC 20, RUC 10 y DNI. Participación en reuniones diarias de forma virtual con el equipo de ventas y los clientes (a través de plataformas de video llamada). Generación diaria de prospectos de manera remota a través de redes sociales, correo electrónico, video llamadas y llamadas telefónicas. Cierre efectivo de ventas de la línea de productos de Izipay. Disponibilidad para trabajar de lunes a sábado en horarios de 9:00 AM a 6:30 PM (lunes a viernes) y de 9:00 AM a 1:00 PM (sábados). Habilidades destacadas de negociación y empatía.¡No esperes más y postula ahora para formar parte de nuestro equipo!",https://www.bumeran.com.pe/empleos/izipay-asesor-comercial-remoto-yatel-data-sac-1116335161.html
